Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
James Rowley,@JamesRow_1,May 20,100% Committed#Family,13,33,277
Coach Mike Anderson,@Iron_MikeMA,May 19,"So proud of 
@Mikaylasa_2
 the graduate #FAMILY ",8,3,194
Random Thinkin,@random__thinkin,May 19,"Happy Friday to all of you awesome Tweeters!

Today I would like to celebrate my friend, 
@322_45won
 who hit 40K in followers yesterday!
Congratulations Sue, we all love you!

Everyone have a great weekend. Do something fun with those you love!

#FridayFeeling 
#FamilyFirst",12,16,24
Benson & Bowie aka The Beans,@cgbosslady1,May 20,Happy Friday! Mom was off today! Yay!  M&D are preparing to work in the garden this weekend. Bowie and I are excellent diggers so we can’t wait!  This is going to be a awesome! Oh! And Rosie is visiting on Sunday. did someone say #foldypawfriday #dogsoftwitter #friyay #family,31,32,877
Gavin Geddes,@GavinGeddes7,May 19,My life story #Soundtracktoalife coming this year #TrueStory #book #film #ChildSexAbuse #football #prison #mentalhealth #family #seekingjustice #Closure From Left Wing to B Wing ,,19,26
ROTTWEILER LOVERS,@ROTTWEILERLOV12,May 19,"Hey there, it’s me, your friendly neighborhood puppy! I just wanted to drop by and say hi! Can we be friends?
#rottweiler #rottweilerlover #WeekendVibes #DogLife #Family #Fun #Spring #Photography #PuppyLove #DogsOfTwitter #rottweilerclub #dog #doglife #world #rott #mastiff",2,9,105
davood.j,@Spring_of_Adven,May 19,"Family is the best thing you could wish for.  They are there for you through the ups and downs and love you no matter what kind of person you are.

 Family means ""love, peace, motivation""

#family 
#fridaymorning",2,5,16
Earl Watson Academy,@EWA_Basketball,May 19,Big weekend ahead in Iowa!! #compete #ewa #family,1,13,29
Billy Gil,@billygil,May 19,"Happy Fast X Day to those who celebrate! 
@TheFastSaga
 #FastX #family",22,37,297
Pepe Hart 'Mrs Hrt',@pepe_hart,May 19,Happy days with my favourite people  #Family,4,1,38
Foundation For Feathered Friends,@ForFeathers,May 19,"Daffyd was the same size 16 days ago as Tom & Gerry, rescued yesterday from the sea at #Llandudno They must have been carried downriver by the current. Daffyd & a sibling(who died before we could help) were rejected by their mother #Duck Now he has a new #family #birds #ducklings",,6,16
Jo Evans,@Coach_Jo_Evans,May 20,Utes In the House. #family,7,2,90
AKAQuietStorm88,@ksb1908,May 19,There’s absolutely no place I’d rather be today than with my beautiful niece at her Awards Day Ceremony. I will always be Team MooMoo  #MaysHigh #MooMoosAuntie #potd #bhfyp #scholar #family,8,2,94
NateBige,@NateBige,May 19,"Day 31 of tweeting until 
@BRob_2323
 commits to dominating the Edge in the Big House! We need your work ethic and leadership! 

#Family | #GoBlue | #Born2Play4Michigan | BF",3,5,47
Véronique Wilhelme,@VWilhelme,May 20,"#deanwinchester #hunters #family #SaveTheWinchesters against all odds  
#SPNFamily",1,7,23
Ellie Japan,@EllieJapan2022,May 20,"Cute pink!!

#Camellia #pink #NaturePhotograhpy #Tokyo #YushimaShrine #湯島天神 #Japan #familytime",1,5,37
Cynt Marshall,@cyntmarshall,May 20,"The groom and mother of the groom. May 12, 2023. Y’all know I was not playing in that dress.  #family",33,3,269
Chrissy Mahon,@mahonchrissy,May 20,"Friday = after work dinner & drinks with the #family 
@ChawkePubGroup1
 #TheGoat 
@AngelaMahon",,1,7
Novi Varsity Soccer,@novi_soccer,May 19,"Our second senior we’d like to honor…FAITH 

#Family
#NoviPride
#NoviTogether
#OnceAWildcatAlwaysAWildcat",,4,17
PARK FOOTBALL,@KPark_Football,May 20,"We had a great time these last couple of days spending time with our 
@KingwoodCougars
 family!  Can’t wait for these kids to be Panthers! #THEPARK #Family",,7,16
Ju Adi,@JuAdi84673761,May 19,"I hope you are healthy, good luck little by little, remember your family at home, don't waste, and like to thank others and God. #family
#friends #hope #Smile",,12,24
maurice69.sol,@mauricedotxyz,May 19,"Gawd, 
@MonkeDAO
 Town Hall gets me so fkn high. The pump it up vibes get me every time. 

I love you guys. #family",6,2,39
John Sheely,@Bundogs,May 20,Happy Saturday from Empire Bay - my coffee views this morning  #family #outandabout #morningsun,6,1,29
Arlington Tigers Baseball,@ahstigersbb,May 19,LETS GET HYPE!! This is what we’ve worked for….let’s go TAKE IT!! #AWGAWN #fAmily,,3,11
Ben Spencer,@phshoopscoach,May 19,"At the end of the day it’s not about win or losses, it’s about relationships. #family 

Thank you 
@ajharris1222
.   
@Phsmensbball
 @phshighlanders
 @Jonathan_Como
 @DaminEsper
 @westcoastpreps_
 @EmoryBasketball
 @LakeshowHoops",2,3,22
stephen andrews,@stephen82754737,May 19,"just picked the brother up from the hospital thankfully its not as bad as we thought , ya never know the minute hold your loved ones dear #family",3,,35
Kelsey Oelze,@CoachSwoelze,May 19,"Jags Cross Country new Head Coach 
@CoachTummins
 starting early with our talented group of athletes! Welcome to the Jag family Coach! #Stateonthemind #GoJags #Family 
@ctjohnsonXC
 @CoachTPMiller
 @JPApride
 @CTJohnsonHigh",,2,14
muriel devillers,@MBBdV,May 19,#Shabbat #Shalom to my #children my #grandson (Choupinet) my #family and all of you my #friends ,3,3,14
Madhouse Training,@Madhousefit,May 19,"Congrats To Kalari Gordon On Receiving An Offer From Texas A&M University.  #MadHouseFit #Family #GigEm #WeBuiltDifferent 
@Dameyunecraig16",,8,46
