Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
The Caribbean Prince,@Freedom16356531,May 24,King Charles & The Princess of Wales have a strong & close relationship. Newspapers love to create drama when it doesn’t exist. Chelsea  Show article is ridiculous. The King loves & is thankful of his daughter-in-law. Catherine attracts attention & he understands that. #Family,24,153,"1,653"
Dr. Heather Sue M. Rosen (she/they),@MedSociOnWheels,May 24,"3 years ago we had a Zoom #wedding and declared we would have a reception “soon.” Several #Covid variants, two dogs, a house, and a #dissertation later, still no dream wedding but we do have a pretty amazing #family. Happy #anniversary my love  #FamiliesWhoMask #Marriage",49,47,799
FreeDanDuggan,@FreeDanDuggan,May 24,"#FreeDanDuggan is affectionally known by close friends and #Family as #Danny. From an #Irish #Catholic background, Danny grew up in #Boston hearing about his ancestors and their the struggle for #FREEDOM in #Ireland. He never thought he'd be subjected to such tyranny in…",3,108,187
BWWM,@swirl_bwwm,May 24,"We’re the Wilders. I’m Jeena and my husband is DrueWe’re a multicultural family and we don’t match but it does not affect the love we have for each other.
#familygoals #interracialmarriage #interracialfamily #virtualtwins #twinning #whitemendatingblackwomen #matchingoutfits",1,6,32
Beanie,@Beanie0597,May 24,There is something uniquely special about celebrating your 26th wedding anniversary w/ your high school sweetheart the same week your oldest is on his honeymoon with his high school sweetheart. #marriage #family,5,2,68
HBAR Wraps,@HBARWraps,May 25,"Lets celebrate the deletion of my other account by giving away 9 Kamuy Gate Keeper of the 9 trading cards to people who follow this account. Like this post, tag 2 friends below and follow 
@HBARWraps
 . I'll pick 9 winners on Sunday. #hbar #tribe #heART #family #handmadewithlove",42,66,86
ViralHog,@ViralHog,May 25,Slime bubble tent!  #wholesome #familytime #viralhog,1,3,32
"Jalen,Scarver",@JalenScarver,May 24,"Blessed to receive an offer from shorter university @ehancesportstraining 
@recruiterbrian
 #family",,7,18
moonie,@itsmooniiieee,May 25,"The biggest fear of all solo akgaes. 

#Family 
#BLACKPINK",,13,57
Matt Barksdale,@CHSKnightsBball,May 25,"#MyWhy Go be great fellas! Love y’all and proud of you!!! 
@BraydenOxley
 @NicStroumpis
 @carter_wit
 @HibbertJonah
 @Jaslicee
 @CooperDulion
 #Family",2,8,46
Soompi,@soompi,May 24,"“#MyPerfectStranger” Soars To Its Highest Ratings Yet + “#Family” Ends On Ratings Boost
https://soompi.com/article/1589456wpp/my-perfect-stranger-soars-to-its-highest-ratings-yet-family-ends-on-ratings-boost…",,51,397
Chad Harlander,@ChadHarlander,May 24,"Thank you to Chris Hawkey,  Andrea Yoch,  and KFAN for inviting our 8th grade REACH TEAM. ""YOU are the STAR of your own movie.""
#weallhaveastory #family 
@Chris_Hawkey
 @ayoch
 @KFAN1003
 @PowerTripKFAN
 @chadgreenway52",1,3,34
Cedrick Harris Sr.,@CedrickHarris11,May 25,We are proud of our excellent achievers!  #Family #BeLikeCJ,1,4,50
Har-Ber Wildcat Football,@HB_WildcatFB,May 25,Thanks to the Bradley’s for hosting our football staff this week. Top notch food and fellowship! #family,,2,26
Mariska Hargitay Italia,@ItMariska,May 24,"""We are so deeply blessed that we are the five of us.""
@PeterHermann
I love them with all my heart.
Mariska and Peter are the best parents and those kids are the luckiest...
What a wonderful family 

#MariskaHargitay #PeterHermann #Sayorg #Ohana #Family",2,8,80
Gail,@BirdAndGarden,May 25,Surrounded by more #natural beauty on my deck today. My daughter gave me this #planter with #flowers for Mother’s Day. It’s a #butterfly magnet. #spring #nature #butterflies I just love it! #family  #Leps,10,7,57
NateBige,@NateBige,May 24,"Day 1 of tweeting until 
@jjls_14
 commits to joining his brother 
@Jerodsmith44
 in the Big House creating a lock down DL! 

#GoBlue | #Family | #Born2Play4Michigan | BF",2,10,123
Culver Football,@CSCwildcatsFB,May 25," “Hey Siri, who do the Wildcats play in 2023?”

: Now showing you the Culver-Stockton College Wildcats 2023 Football Season Schedule  #GoWild #Family #ResumeTheRoar",,58,94
Gavin Geddes,@GavinGeddes7,May 24,My life story #Soundtracktoalife coming this year #TrueStory #book #film #ChildSexAbuse #football #prison #mentalhealth #family #seekingjustice #Closure From Left Wing to B Wing ,2,21,18
Himadri,@onlineGhosh,May 24,"Date with nephew.
Bhaipo eating too much. (No politics here)
#Food
#Family",4,,40
Marist Football,@RedHawkFB,May 24,"A huge THANK YOU to all the incredible programs that came by #115th to check out our RedHawk recruits during the Spring period!

#Family",2,10,47
Liberty HS Girls Basketball,@LadyCanesGBB,May 24,"2023 Liberty Sports Awards Night 

Congrats to our award winners

MVP - Ava Kopetskie
Scholar Athlete - Layla Orth
Offensive MVP - Ruby Miller
Defensive MVP - Emma Pukszyn
The Ackey Award - Layla Orth

#GoCanes #FamiLy #GirlsHoopToo",3,8,48
Totalrewind ltd,@totalrewind,May 24,A few of the classic games we have in stock. #classicgames #nightsin #gamesnight #familytime #vintageshowandsell,,9,6
Triway Titans Baseball,@TriwayBSB,May 25,"Thank you Seniors! We appreciate EVERYTHING! You will be missed!
#TitanNation #Family #SC12",,9,38
Fenwick Baseball,@baseballfriars,May 24,"Game Day! 

The playoff journey starts today! 
1st Pitch: 4:30 pm
#FenwickBaseball #Family #BacktoBusiness",3,5,18
RezDevil,@rez_devil,May 24,I LOVE that we have family up north who will check up on our house at the drop of a hat when we see suspicious activity on our cameras. #family,4,,54
Simon,@SimonPobble,May 24,My world! #familytime #centreparcs #sunshine ,1,1,40
Rob Otey,@Rob_Otey,May 24,"#FAMILY #GAMEDAY 
@EdOBrienCFB
 

Much love and respect to all the fellas and young ladies in these pictures! 

Without you all, 
@Spotlight39_Pod
 wouldn’t be where it is today! ",1,8,18
Oldham Weather,@ChadWeather,May 24, Stunning weather here in #Corfu. Nice convection from the distant thunderstorms. Hoping to catch one later on Saturday. #FamilyTime.,13,1,45
BeeBop ᴺᶠᵀ,@BeeBopArtwork,May 24,"An executable idea I had for a #utility for: Arrow~Matic~Queens Collection
https://opensea.io/collection/the-arrow-matic-queens…#NFT #rtItBot #opensea 
@BlazedRTs
 #Polygon  #MATIC #ETH #friends #family #groups #SoundOn",6,11,11
