Tweet date,Tweet,Likes,Retweets,Quote Status?,Username,Screenname,User ID,Account creation date,Followers,Verified,Tweet country location name,Tweet country location code,Tweet city location fullname,Tweet city location name,Tweet location type,Relations
2023-06-08 07:10:20+00:00,@QuinOtieno1 #SquadGoals 👌🏾 - Congratulations to you all 👏🏾👏🏾👏🏾,0,0,False,Agnés Amimo,agnes_plus6,1384803860,2013-04-27 15:59:01+00:00,124,False,,,,,,friendship
2023-06-08 07:06:43+00:00,"Cheers to the ones who've been there through thick and thin! Happy #BestFriendsDay, celebrating the bond that lasts a lifetime.
#BFFsForever #FriendshipGoals #SquadGoals #PartnersInCrime #ForeverFriends #TrueFriends #FriendshipMatters #FriendshipDay #UnbreakableBond #Dreamcare https://t.co/41opGuzOpg",1,0,False,Dream Care,DreamCareHome,1119099319175434241,2019-04-19 04:44:04+00:00,434,False,,,,,,friendship
2023-06-08 06:59:57+00:00,"Finding joy in the little things, like playing ludo giant with my best friend on BestFriendDay #BestFriendDay #BestiesForever #FriendsForever #FriendshipGoals #BFFs #SquadGoals #PartnerInCrime https://t.co/WbFkjWiDYu",0,0,False,Ludo Gaint,ludogaint,1563107322993336326,2022-08-26 10:14:01+00:00,24,False,,,,,,friendship
2023-06-08 06:15:23+00:00,"Who's next?

$Arch #BuildingBridges #SquadGoals https://t.co/ock9Ekfnrx",1,0,True,Eric Waisanen 🟠,EricWaisanen,881663033923166209,2017-07-02 23:57:02+00:00,1743,False,,,,,,friendship
2023-06-08 04:46:05+00:00,"I regret to inform you, but my team is better than yours 😝! Truly overwhelmed by the love that team NOLA showered lil JP with! #SquadGoals #OhBoy #Blessed https://t.co/bvNu1c9jAJ",3,0,False,JP Davis,PurpleReignJP,1134478974489366530,2019-05-31 15:17:19+00:00,117,False,United States,US,"New Orleans, LA",New Orleans,city,friendship
2023-06-08 04:11:37+00:00,"@QanonAnonymous Thanks for the health tips
#squadgoals https://t.co/wvHQaG63OO",0,0,False,Zacarias Kominski,zacariaskomins,3399293292,2015-08-31 03:11:19+00:00,464,False,,,,,,friendship
2023-06-08 03:58:08+00:00,"RT @M5Lorie: Hey Home Depot Happy Pride Month! 🎉🎉L❤️VE  Wins 🌈 at #YourOPHD 🏳️‍🌈🍊🥰🦄   
❤️🧡💛💚💙💜🖤🤎🩷🤍    #HomeDepotStrong #livetheorangelife #…",0,1,False,Thomas🐕⚾️🏒🏳️‍🌈✌🏼,WhidbeyTom428,20365933,2009-02-08 13:21:48+00:00,728,False,,,,,,friendship
2023-06-08 03:51:26+00:00,Surreal and still can't believe the Nuggets are only 2 wins away from an NBA championship. Sleep well Nuggets Nation. #BringItIn #SquadGoals,0,0,False,Joseph Mann,Jmann9124,1600279347738329088,2022-12-07 00:02:50+00:00,245,False,,,,,,friendship
2023-06-08 03:27:52+00:00,"Hey Home Depot Happy Pride Month! 🎉🎉L❤️VE  Wins 🌈 at #YourOPHD 🏳️‍🌈🍊🥰🦄   
❤️🧡💛💚💙💜🖤🤎🩷🤍    #HomeDepotStrong #livetheorangelife #SquadGoals #GoTeam🫶🏻 #LoveWins #Pride2023 https://t.co/yyDPHvHnso",2,1,False,Lorie M,M5Lorie,1152010507949412357,2019-07-19 00:21:23+00:00,455,False,United States,US,"Florida, USA",Florida,admin,friendship
2023-06-08 03:00:06+00:00,"""Friendship is the golden thread that ties the heart of all the world.""

#BestFriendGoals
#FriendshipGoals
#BFFs
#FriendsForever
#SquadGoals
#PartnerInCrime
#MyPerson
#RideOrDie
#Besties
#FriendshipDay
#NationalBestFriendDay
#BestieLove
#ForeverFriends
#SoulSisters
 #Brothers https://t.co/X2iEFK9ouD",0,0,False,Mahakali Roadwage,MahakaliRoadwag,1653958528091181056,2023-05-04 03:03:55+00:00,1,False,,,,,,friendship
